% nodeID , nodeType , latDeg , lonDeg , altMeters , parcelWtLbs
0, 0, 35.527832, 129.329186, 0.000000, -1.000000
1, 1, 35.526321, 129.314918, 0.000000, 1.000000
2, 1, 35.521774, 129.328771, 0.000000, 2.000000
3, 1, 35.543285, 129.332757, 0.000000, 100.000000
4, 1, 35.526957, 129.327344, 0.000000, 1.000000
5, 1, 35.521706, 129.330504, 0.000000, 3.000000
6, 1, 35.521913, 129.347083, 0.000000, 2.000000
7, 1, 35.539426, 129.341855, 0.000000, 1.000000
8, 1, 35.535767, 129.335233, 0.000000, 3.000000
9, 1, 35.535104, 129.351387, 0.000000, 4.000000
10, 1, 35.539258, 129.338397, 0.000000, 1.000000
11, 1, 35.527643, 129.340833, 0.000000, 1.000000
12, 1, 35.542133, 129.316497, 0.000000, 3.000000
13, 1, 35.533329, 129.333279, 0.000000, 4.000000
14, 1, 35.537321, 129.319886, 0.000000, 3.000000
15, 1, 35.529907, 129.317955, 0.000000, 4.000000
16, 1, 35.527200, 129.306231, 0.000000, 1.000000
17, 1, 35.524645, 129.327151, 0.000000, 4.000000
18, 1, 35.544423, 129.341928, 0.000000, 4.000000
19, 1, 35.523695, 129.311444, 0.000000, 1.000000
20, 1, 35.521639, 129.311371, 0.000000, 4.000000
21, 1, 35.540710, 129.345936, 0.000000, 3.000000
22, 1, 35.526609, 129.309191, 0.000000, 2.000000
23, 1, 35.543361, 129.342829, 0.000000, 3.000000
24, 1, 35.532376, 129.319315, 0.000000, 5.000000
25, 1, 35.528917, 129.327671, 0.000000, 3.000000
26, 1, 35.528129, 129.341714, 0.000000, 3.000000
27, 1, 35.522933, 129.345741, 0.000000, 5.000000
28, 1, 35.525725, 129.344985, 0.000000, 100.000000
29, 1, 35.536096, 129.309110, 0.000000, 5.000000
30, 1, 35.527517, 129.347494, 0.000000, 3.000000
31, 1, 35.539216, 129.343172, 0.000000, 5.000000
32, 1, 35.529696, 129.340671, 0.000000, 4.000000
33, 1, 35.527784, 129.331784, 0.000000, 4.000000
34, 1, 35.533594, 129.346442, 0.000000, 2.000000
35, 1, 35.544420, 129.329452, 0.000000, 3.000000
36, 1, 35.536108, 129.341835, 0.000000, 4.000000
37, 1, 35.538755, 129.342940, 0.000000, 1.000000
38, 1, 35.530284, 129.337768, 0.000000, 5.000000
39, 1, 35.527026, 129.310811, 0.000000, 3.000000
40, 1, 35.540124, 129.350601, 0.000000, 100.000000
41, 1, 35.525321, 129.308743, 0.000000, 1.000000
42, 1, 35.530714, 129.323811, 0.000000, 2.000000
43, 1, 35.531511, 129.318673, 0.000000, 4.000000
44, 1, 35.544706, 129.329839, 0.000000, 1.000000
45, 1, 35.533648, 129.314575, 0.000000, 1.000000
46, 1, 35.524125, 129.308289, 0.000000, 100.000000
47, 1, 35.542661, 129.325557, 0.000000, 2.000000
48, 1, 35.532225, 129.315877, 0.000000, 2.000000
49, 1, 35.528453, 129.333841, 0.000000, 5.000000
50, 1, 35.538485, 129.327602, 0.000000, 4.000000
