% nodeID , nodeType , latDeg , lonDeg , altMeters , parcelWtLbs
0, 0, 35.524093, 129.317863, 0.000000, -1.000000
1, 1, 35.535873, 129.338410, 0.000000, 1.000000
2, 1, 35.538816, 129.338777, 0.000000, 3.000000
3, 1, 35.544837, 129.338893, 0.000000, 3.000000
4, 1, 35.538954, 129.345960, 0.000000, 100.000000
5, 1, 35.531504, 129.349621, 0.000000, 5.000000
6, 1, 35.536952, 129.311962, 0.000000, 4.000000
7, 1, 35.535142, 129.315980, 0.000000, 1.000000
8, 1, 35.529341, 129.341463, 0.000000, 5.000000
9, 1, 35.525470, 129.338218, 0.000000, 2.000000
10, 1, 35.544897, 129.329328, 0.000000, 1.000000
11, 1, 35.524251, 129.310670, 0.000000, 2.000000
12, 1, 35.539501, 129.306413, 0.000000, 4.000000
13, 1, 35.521594, 129.347772, 0.000000, 4.000000
14, 1, 35.523066, 129.313500, 0.000000, 5.000000
15, 1, 35.541773, 129.308749, 0.000000, 2.000000
16, 1, 35.536774, 129.307286, 0.000000, 4.000000
17, 1, 35.532306, 129.347335, 0.000000, 4.000000
18, 1, 35.521531, 129.321302, 0.000000, 2.000000
19, 1, 35.528123, 129.307547, 0.000000, 3.000000
20, 1, 35.522368, 129.336345, 0.000000, 4.000000
21, 1, 35.540404, 129.335158, 0.000000, 2.000000
22, 1, 35.536776, 129.340372, 0.000000, 1.000000
23, 1, 35.544371, 129.342036, 0.000000, 4.000000
24, 1, 35.522193, 129.352374, 0.000000, 1.000000
25, 1, 35.535873, 129.353057, 0.000000, 1.000000
26, 1, 35.528203, 129.321698, 0.000000, 2.000000
27, 1, 35.529230, 129.335311, 0.000000, 3.000000
28, 1, 35.524712, 129.318188, 0.000000, 1.000000
29, 1, 35.541554, 129.339025, 0.000000, 5.000000
30, 1, 35.521924, 129.346038, 0.000000, 3.000000
31, 1, 35.527898, 129.330426, 0.000000, 100.000000
32, 1, 35.532390, 129.336175, 0.000000, 3.000000
33, 1, 35.540318, 129.331256, 0.000000, 100.000000
34, 1, 35.533630, 129.345505, 0.000000, 2.000000
35, 1, 35.535441, 129.318129, 0.000000, 100.000000
36, 1, 35.526893, 129.316805, 0.000000, 1.000000
37, 1, 35.541446, 129.324756, 0.000000, 4.000000
38, 1, 35.529469, 129.319645, 0.000000, 100.000000
39, 1, 35.525753, 129.331045, 0.000000, 2.000000
40, 1, 35.525214, 129.342795, 0.000000, 100.000000
41, 1, 35.529414, 129.334085, 0.000000, 3.000000
42, 1, 35.524278, 129.311139, 0.000000, 2.000000
43, 1, 35.533208, 129.318779, 0.000000, 4.000000
44, 1, 35.544561, 129.311505, 0.000000, 1.000000
45, 1, 35.544338, 129.315407, 0.000000, 4.000000
46, 1, 35.529131, 129.313713, 0.000000, 1.000000
47, 1, 35.530838, 129.316778, 0.000000, 3.000000
48, 1, 35.527036, 129.345737, 0.000000, 100.000000
49, 1, 35.524281, 129.332577, 0.000000, 5.000000
50, 1, 35.526447, 129.349061, 0.000000, 2.000000
51, 1, 35.522377, 129.326971, 0.000000, 5.000000
52, 1, 35.541771, 129.341218, 0.000000, 1.000000
53, 1, 35.528119, 129.329344, 0.000000, 2.000000
54, 1, 35.537093, 129.344580, 0.000000, 3.000000
55, 1, 35.536019, 129.315585, 0.000000, 100.000000
56, 1, 35.522183, 129.344630, 0.000000, 2.000000
57, 1, 35.544858, 129.331963, 0.000000, 100.000000
58, 1, 35.529396, 129.316311, 0.000000, 3.000000
59, 1, 35.543247, 129.307125, 0.000000, 100.000000
60, 1, 35.530142, 129.345011, 0.000000, 5.000000
61, 1, 35.537390, 129.321861, 0.000000, 1.000000
62, 1, 35.523000, 129.342094, 0.000000, 2.000000
63, 1, 35.541031, 129.311535, 0.000000, 5.000000
64, 1, 35.535666, 129.317818, 0.000000, 100.000000
65, 1, 35.527332, 129.319413, 0.000000, 4.000000
66, 1, 35.531540, 129.311912, 0.000000, 100.000000
67, 1, 35.544008, 129.319605, 0.000000, 4.000000
68, 1, 35.526579, 129.312231, 0.000000, 2.000000
69, 1, 35.533803, 129.339502, 0.000000, 1.000000
70, 1, 35.525830, 129.353820, 0.000000, 2.000000
71, 1, 35.533393, 129.346140, 0.000000, 5.000000
72, 1, 35.523343, 129.308537, 0.000000, 2.000000
73, 1, 35.538461, 129.341190, 0.000000, 5.000000
74, 1, 35.542018, 129.350902, 0.000000, 5.000000
75, 1, 35.535400, 129.310110, 0.000000, 4.000000
76, 1, 35.531470, 129.342924, 0.000000, 4.000000
77, 1, 35.539623, 129.351253, 0.000000, 4.000000
78, 1, 35.533997, 129.317051, 0.000000, 2.000000
79, 1, 35.543201, 129.327342, 0.000000, 2.000000
80, 1, 35.532379, 129.352575, 0.000000, 100.000000
81, 1, 35.525632, 129.314812, 0.000000, 3.000000
82, 1, 35.533702, 129.307363, 0.000000, 2.000000
83, 1, 35.541167, 129.307712, 0.000000, 3.000000
84, 1, 35.531854, 129.347877, 0.000000, 4.000000
85, 1, 35.531239, 129.331747, 0.000000, 3.000000
86, 1, 35.524097, 129.335844, 0.000000, 100.000000
87, 1, 35.543456, 129.306354, 0.000000, 3.000000
88, 1, 35.523660, 129.315449, 0.000000, 1.000000
89, 1, 35.529960, 129.325209, 0.000000, 2.000000
90, 1, 35.537761, 129.346123, 0.000000, 2.000000
91, 1, 35.521749, 129.334711, 0.000000, 100.000000
92, 1, 35.531240, 129.312738, 0.000000, 4.000000
93, 1, 35.536266, 129.341770, 0.000000, 4.000000
94, 1, 35.534967, 129.332764, 0.000000, 1.000000
95, 1, 35.534733, 129.310562, 0.000000, 3.000000
96, 1, 35.539106, 129.310958, 0.000000, 5.000000
97, 1, 35.522211, 129.327816, 0.000000, 3.000000
98, 1, 35.544709, 129.343555, 0.000000, 1.000000
99, 1, 35.529771, 129.347031, 0.000000, 100.000000
100, 1, 35.534853, 129.323706, 0.000000, 1.000000
