% from location i, to location j, time [sec], distance [meters]
0, 0, 0.000000, 0.000000
0, 1, 379.049653, 4245.356115
0, 2, 360.070819, 4032.793171
0, 3, 299.347981, 3352.697393
0, 4, 79.052685, 885.390076
0, 5, 301.645698, 3378.431816
0, 6, 238.474042, 2670.909275
0, 7, 91.735040, 1027.432452
0, 8, 68.500330, 767.203700
0, 9, 151.741963, 1699.509983
0, 10, 213.348382, 2389.501883
0, 11, 261.601679, 2929.938810
0, 12, 384.066915, 4301.549453
0, 13, 179.660988, 2012.203068
0, 14, 161.162137, 1805.015932
0, 15, 367.843397, 4119.846041
0, 16, 105.876023, 1185.811459
0, 17, 113.748121, 1273.978954
0, 18, 336.243362, 3765.925650
0, 19, 140.454724, 1573.092907
0, 20, 263.696185, 2953.397269
0, 21, 291.639745, 3266.365141
0, 22, 74.463013, 833.985750
0, 23, 236.629234, 2650.247418
0, 24, 136.510350, 1528.915917
0, 25, 145.399022, 1628.469042
1, 0, 379.049653, 4245.356115
1, 1, 0.000000, 0.000000
1, 2, 158.284604, 1772.787567
1, 3, 142.288531, 1593.631544
1, 4, 402.440407, 4507.332554
1, 5, 134.441323, 1505.742816
1, 6, 198.462026, 2222.774688
1, 7, 386.004032, 4323.245153
1, 8, 311.677163, 3490.784226
1, 9, 313.930031, 3516.016342
1, 10, 221.678390, 2482.797969
1, 11, 142.908567, 1600.575951
1, 12, 214.661327, 2404.206864
1, 13, 428.575842, 4800.049433
1, 14, 342.723911, 3838.507805
1, 15, 198.437808, 2222.503452
1, 16, 400.145014, 4481.624160
1, 17, 462.595567, 5181.070353
1, 18, 156.789676, 1756.044371
1, 19, 454.154306, 5086.528224
1, 20, 172.072364, 1927.210472
1, 21, 225.699856, 2527.838383
1, 22, 395.334843, 4427.750240
1, 23, 185.656333, 2079.350933
1, 24, 458.591792, 5136.228069
1, 25, 402.585003, 4508.952032
2, 0, 360.070819, 4032.793171
2, 1, 158.284604, 1772.787567
2, 2, 0.000000, 0.000000
2, 3, 102.635562, 1149.518295
2, 4, 373.643874, 4184.811391
2, 5, 63.897903, 715.656515
2, 6, 158.809057, 1778.661440
2, 7, 357.207499, 4000.723991
2, 8, 328.171788, 3675.524027
