% from location i, to location j, time [sec], distance [meters]
0, 0, 0.000000, 0.000000
0, 1, 422.835908, 4735.762166
0, 2, 287.627005, 3221.422457
0, 3, 168.211497, 1883.968761
0, 4, 417.445904, 4675.394125
0, 5, 87.763270, 982.948622
0, 6, 139.378482, 1561.038998
0, 7, 170.097155, 1905.088137
0, 8, 286.954021, 3213.885031
0, 9, 68.429780, 766.413541
0, 10, 284.064311, 3181.520287
0, 11, 428.739293, 4801.880086
0, 12, 89.662575, 1004.220838
0, 13, 159.003394, 1780.838014
0, 14, 214.833121, 2406.130956
0, 15, 325.009373, 3640.104972
0, 16, 128.178718, 1435.601645
0, 17, 59.833833, 670.138927
0, 18, 344.630923, 3859.866334
0, 19, 280.990641, 3147.095182
0, 20, 147.994570, 1657.539187
0, 21, 375.522084, 4205.847344
0, 22, 288.955071, 3236.296799
0, 23, 269.340534, 3016.613976
0, 24, 64.589517, 723.402592
0, 25, 335.044473, 3752.498100
0, 26, 173.492640, 1943.117569
0, 27, 107.959348, 1209.144695
0, 28, 319.405953, 3577.346676
0, 29, 458.536212, 5135.605574
0, 30, 460.066490, 5152.744690
0, 31, 183.170191, 2051.506134
0, 32, 202.020626, 2262.631016
0, 33, 327.463864, 3667.595277
0, 34, 218.182674, 2443.645948
0, 35, 479.174779, 5366.757529
0, 36, 476.007265, 5331.281370
0, 37, 175.811676, 1969.090773
0, 38, 232.413028, 2603.025916
0, 39, 91.766577, 1027.785658
0, 40, 96.225315, 1077.723533
0, 41, 363.841219, 4075.021647
0, 42, 66.738022, 747.465851
0, 43, 220.318054, 2467.562201
0, 44, 329.995039, 3695.944439
0, 45, 128.506023, 1439.267456
0, 46, 482.179775, 5400.413483
0, 47, 43.588002, 488.185622
0, 48, 54.916241, 615.061901
0, 49, 93.662377, 1049.018621
0, 50, 226.642037, 2538.390813
1, 0, 422.835908, 4735.762166
1, 1, 0.000000, 0.000000
1, 2, 232.903215, 2608.516010
1, 3, 266.416810, 2983.868269
1, 4, 35.236318, 394.646764
1, 5, 483.011775, 5409.731882
1, 6, 318.213390, 3563.989970
1, 7, 487.751409, 5462.815783
1, 8, 163.674480, 1833.154173
1, 9, 423.984049, 4748.621354
1, 10, 333.532768, 3735.566997
1, 11, 78.627239, 880.625079
1, 12, 491.634182, 5506.302836
1, 13, 292.440361, 3275.332039
1, 14, 369.568651, 4139.168890
1, 15, 159.514151, 1786.558491
1, 16, 427.695363, 4790.188069
1, 17, 443.192382, 4963.754680
1, 18, 106.768261, 1195.804525
1, 19, 202.480550, 2267.782159
1, 20, 287.744212, 3222.735170
1, 21, 51.705211, 579.098359
1, 22, 332.825110, 3727.641228
1, 23, 231.467680, 2592.438018
1, 24, 474.604442, 5315.569750
1, 25, 254.477100, 2850.143524
1, 26, 375.114641, 4201.283977
1, 27, 463.115537, 5186.894013
1, 28, 172.794206, 1935.295103
1, 29, 176.148563, 1972.863904
1, 30, 177.678841, 1990.003021
1, 31, 324.979122, 3639.766172
1, 32, 316.046507, 3539.720881
1, 33, 225.062977, 2520.705339
1, 34, 372.918204, 4176.683883
1, 35, 188.471708, 2110.883135
1, 36, 144.975130, 1623.721454
1, 37, 293.473129, 3286.899046
1, 38, 342.185371, 3832.476153
1, 39, 344.819966, 3861.983624
1, 40, 448.176328, 5019.574871
1, 41, 158.794348, 1778.496703
1, 42, 468.481820, 5246.996383
1, 43, 375.053584, 4200.600136
1, 44, 165.599090, 1854.709807
1, 45, 417.383444, 4674.694569
1, 46, 191.476704, 2144.539088
1, 47, 433.970825, 4860.473242
1, 48, 464.931166, 5207.229059
1, 49, 495.633984, 5551.100620
1, 50, 252.430916, 2827.226254
2, 0, 287.627005, 3221.422457
2, 1, 232.903215, 2608.516010
2, 2, 0.000000, 0.000000
2, 3, 189.320085, 2120.384948
2, 4, 249.764394, 2797.361208
2, 5, 278.855902, 3123.186104
2, 6, 239.936821, 2687.292392
2, 7, 283.595536, 3176.270005
2, 8, 143.059001, 1602.260810
2, 9, 227.910235, 2552.594630
2, 10, 122.026999, 1366.702386
2, 11, 188.333421, 2109.334320
2, 12, 354.987669, 3975.861893
2, 13, 192.475681, 2155.727624
2, 14, 158.062882, 1770.304279
2, 15, 89.649698, 1004.076619
2, 16, 223.539490, 2503.642291
2, 17, 247.118568, 2767.727956
2, 18, 166.000269, 1859.203008
2, 19, 124.834534, 1398.146785
2, 20, 209.017865, 2341.000084
2, 21, 233.038045, 2610.026099
2, 22, 120.679724, 1351.612914
2, 23, 55.315043, 619.528477
2, 24, 327.403307, 3666.917038
2, 25, 109.857487, 1230.403859
2, 26, 163.608872, 1832.419366
2, 27, 258.959664, 2900.348235
2, 28, 104.651418, 1172.095884
2, 29, 218.130340, 2443.059808
2, 30, 219.660618, 2460.198924
2, 31, 120.823249, 1353.220394
2, 32, 111.890634, 1253.175103
2, 33, 102.276878, 1145.501037
2, 34, 161.412435, 1807.819272
2, 35, 238.768907, 2674.211763
2, 36, 235.601393, 2638.735603
2, 37, 189.954480, 2127.490179
2, 38, 130.679602, 1463.611542
2, 39, 239.793646, 2685.688833
2, 40, 244.020455, 2733.029094
2, 41, 122.994358, 1377.536813
2, 42, 344.993184, 3863.923666
2, 43, 163.547815, 1831.735525
2, 44, 89.148179, 998.459605
2, 45, 213.227571, 2388.148791
2, 46, 241.773903, 2707.867717
2, 47, 311.861459, 3492.848341
2, 48, 305.524967, 3421.879629
2, 49, 358.987471, 4020.659677
2, 50, 145.219271, 1626.455835
3, 0, 168.211497, 1883.968761
3, 1, 266.416810, 2983.868269
3, 2, 189.320085, 2120.384948
3, 3, 0.000000, 0.000000
3, 4, 261.026806, 2923.500228
3, 5, 247.920288, 2776.707222
3, 6, 62.823763, 703.626142
3, 7, 299.236816, 3351.452343
3, 8, 130.534923, 1461.991134
3, 9, 170.953596, 1914.680280
3, 10, 239.095201, 2677.866252
3, 11, 272.368757, 3050.530083
3, 12, 237.009771, 2654.509431
3, 13, 39.262754, 439.742841
3, 14, 207.061749, 2319.091589
3, 15, 188.479100, 2110.965915
3, 16, 239.918352, 2687.085545
3, 17, 199.648164, 2236.059438
3, 18, 188.211825, 2107.972437
3, 19, 124.765348, 1397.371894
3, 20, 33.314528, 373.122708
3, 21, 219.102986, 2453.953447
3, 22, 243.985961, 2732.642765
3, 23, 142.075119, 1591.241335
3, 24, 219.980031, 2463.776345
3, 25, 270.185947, 3026.082602
3, 26, 195.388778, 2188.354315
3, 27, 264.664550, 2964.242963
3, 28, 162.986855, 1825.452779
3, 29, 324.890408, 3638.772567
3, 30, 326.420686, 3655.911683
