% from location i, to location j, time [sec], distance [meters]
0, 0, 0.000000, 0.000000
0, 1, 252.882821, 2832.287591
0, 2, 208.056786, 2330.236000
0, 3, 218.008749, 2441.697988
0, 4, 143.782919, 1610.368696
0, 5, 119.327282, 1336.465557
0, 6, 247.931511, 2776.832919
0, 7, 247.940743, 2776.936321
0, 8, 93.972592, 1052.493030
0, 9, 176.890211, 1981.170364
0, 10, 123.627231, 1384.624991
0, 11, 276.949542, 3101.834870
0, 12, 159.243262, 1783.524535
0, 13, 255.999382, 2867.193083
0, 14, 219.564479, 2459.122165
0, 15, 213.490173, 2391.089935
0, 16, 247.601887, 2773.141131
0, 17, 248.609314, 2784.424314
0, 18, 288.298510, 3228.943313
0, 19, 132.149644, 1480.076016
0, 20, 230.960447, 2586.757010
0, 21, 195.867781, 2193.719147
0, 22, 215.588806, 2414.594632
0, 23, 252.207803, 2824.727391
0, 24, 225.134533, 2521.506772
0, 25, 159.382011, 1785.078528
0, 26, 238.924517, 2675.954595
0, 27, 93.694385, 1049.377109
0, 28, 278.741654, 3121.906527
0, 29, 154.835493, 1734.157519
0, 30, 160.622083, 1798.967335
0, 31, 163.857503, 1835.204038
0, 32, 234.273480, 2623.862977
0, 33, 72.307575, 809.844843
0, 34, 249.130339, 2790.259796
0, 35, 151.234027, 1693.821099
0, 36, 228.299116, 2556.950099
0, 37, 138.262822, 1548.543609
0, 38, 196.224297, 2197.712132
0, 39, 101.244805, 1133.941812
0, 40, 204.994098, 2295.933899
0, 41, 259.541127, 2906.860618
0, 42, 221.737271, 2483.457440
0, 43, 87.505625, 980.063004
0, 44, 259.834180, 2910.142811
0, 45, 151.996545, 1702.361302
0, 46, 82.744902, 926.742899
0, 47, 226.672802, 2538.735387
0, 48, 222.717477, 2494.435738
0, 49, 181.710577, 2035.158458
0, 50, 144.467051, 1618.030968
0, 51, 167.150928, 1872.090398
0, 52, 193.827013, 2170.862550
0, 53, 187.190483, 2096.533408
0, 54, 195.505636, 2189.663121
0, 55, 261.504847, 2928.854281
0, 56, 113.026582, 1265.897722
0, 57, 220.470860, 2469.273627
0, 58, 322.976928, 3617.341589
0, 59, 245.659929, 2751.391205
0, 60, 182.771388, 2047.039550
0, 61, 192.016931, 2150.589623
0, 62, 156.402417, 1751.707069
